Source: Spectrum Viewer
Chart: Pulse Spectrum
Series: 
Wavelength (nm)	S (a.u.)
631.089	437
631.116	434
631.143	458
631.17	438
631.197	469
631.225	441
631.252	457
631.279	467
631.306	430
631.333	440
631.36	437
631.387	447
631.414	433
631.441	424
631.469	417
631.496	435
631.523	439
631.55	429
631.577	431
631.604	438
631.631	429
631.658	455
631.685	437
631.712	421
631.74	454
631.767	404
631.794	430
631.821	465
631.848	427
631.875	449
631.902	443
631.929	441
631.956	439
631.983	450
632.011	427
632.038	453
632.065	443
632.092	445
632.119	430
632.146	430
632.173	447
632.2	453
632.227	450
632.254	443
632.281	443
632.308	472
632.336	467
632.363	454
632.39	461
632.417	455
632.444	474
632.471	475
632.498	511
632.525	594
632.552	1343
632.579	1821
632.606	641
632.633	541
632.66	539
632.688	627
632.715	1804
632.742	2163
632.769	726
632.796	501
632.823	463
632.85	451
632.877	451
632.904	443
632.931	458
632.958	460
632.985	442
633.012	434
633.039	441
633.066	439
633.093	459
633.121	449
633.148	439
633.175	443
633.202	438
633.229	458
633.256	445
633.283	459
633.31	452
633.337	426
633.364	435
633.391	449
633.418	446
633.445	444
633.472	432
633.499	443
633.526	427
633.553	415
633.58	434
633.607	430
633.634	470
633.662	450
633.689	446
633.716	441
633.743	427
633.77	433
633.797	437
633.824	427
633.851	446
633.878	456
633.905	434
633.932	427
633.959	432
633.986	425
634.013	432
634.04	429
634.067	417
634.094	436
634.121	445
634.148	423
634.175	435
634.202	429
634.229	441
634.256	436
634.283	429
634.31	409
634.337	437
634.364	442
634.391	443
634.418	429
634.445	427
634.472	431
634.499	431
634.526	427
634.553	459
634.58	445
634.607	438
634.634	426
634.662	431
634.689	448
634.716	435
634.743	421
634.77	445
634.797	437
634.824	435
634.851	430
634.878	446
634.905	443
634.932	452
634.959	417
634.986	422
635.013	449
635.04	414
635.067	419
635.094	431
635.121	429
635.148	443
635.175	449
635.202	449
635.229	437
635.256	448
635.283	438
635.31	428
635.337	462
635.364	438
635.391	439
635.418	446
635.445	426
635.471	438
635.498	422
635.525	429
635.552	449
635.579	427
635.606	427
635.633	431
635.66	462
635.687	445
635.714	438
635.741	439
635.768	423
635.795	432
635.822	427
635.849	436
635.876	427
635.903	446
635.93	424
635.957	441
635.984	436
636.011	454
636.038	424
636.065	443
636.092	427
636.119	421
636.146	445
636.173	446
636.2	436
636.227	439
636.254	453
636.281	438
636.308	436
636.335	423
636.362	438
636.389	437
636.416	427
636.443	434
636.469	450
636.496	453
636.523	431
636.55	433
636.577	423
636.604	450
636.631	436
636.658	440
636.685	422
636.712	435
636.739	426
636.766	432
636.793	440
636.82	425
636.847	435
636.874	435
636.901	433
636.928	456
636.955	441
636.982	436
637.008	436
637.035	441
637.062	407
637.089	445
637.116	438
637.143	436
637.17	410
637.197	451
637.224	432
637.251	426
637.278	450
637.305	433
637.332	409
637.359	430
637.386	435
637.412	434
637.439	424
637.466	449
637.493	426
637.52	431
637.547	444
637.574	453
637.601	427
637.628	465
637.655	451
637.682	446
637.709	420
637.736	437
637.763	415
637.789	447
637.816	427
637.843	457
637.87	445
637.897	427
637.924	427
637.951	441
637.978	438
638.005	441
638.032	435
638.059	444
638.085	470
638.112	424
638.139	407
638.166	433
638.193	431
638.22	429
638.247	453
638.274	452
638.301	457
638.328	437
638.355	472
638.381	459
638.408	451
638.435	452
638.462	436
638.489	437
638.516	464
638.543	478
638.57	448
638.597	431
638.624	449
638.65	421
638.677	465
638.704	434
638.731	431
638.758	443
638.785	430
638.812	457
638.839	439
638.866	450
638.892	430
638.919	436
638.946	424
638.973	431
639	422
639.027	436
639.054	449
639.081	420
639.107	449
639.134	422
639.161	433
639.188	433
639.215	433
639.242	441
639.269	430
639.296	429
639.322	441
639.349	435
639.376	435
639.403	424
639.43	448
639.457	431
639.484	444
639.511	441
639.537	433
639.564	457
639.591	421
639.618	434
639.645	419
639.672	455
639.699	435
639.725	445
639.752	431
639.779	452
639.806	421
639.833	442
639.86	463
639.887	426
639.913	427
639.94	429
639.967	435
639.994	443
640.021	424
640.048	441
640.075	418
640.101	434
640.128	446
640.155	429
640.182	446
640.209	441
640.236	421
640.262	459
640.289	418
640.316	445
640.343	436
640.37	426
640.397	444
640.424	437
640.45	435
640.477	451
640.504	452
640.531	425
640.558	448
640.585	445
640.611	435
640.638	460
640.665	457
640.692	450
640.719	433
640.746	421
640.772	431
640.799	435
640.826	434
640.853	455
640.88	432
640.907	459
640.933	441
640.96	466
640.987	453
641.014	443
641.041	435
641.067	429
641.094	443
641.121	425
641.148	430
641.175	422
641.202	413
641.228	439
641.255	428
641.282	439
641.309	453
641.336	436
641.362	454
641.389	447
641.416	441
641.443	461
641.47	443
641.496	445
641.523	433
641.55	443
641.577	425
641.604	418
641.631	430
641.657	426
641.684	436
641.711	433
641.738	420
641.765	437
641.791	451
641.818	433
641.845	425
641.872	433
641.898	435
641.925	414
641.952	430
641.979	440
642.006	469
642.032	419
642.059	427
642.086	442
642.113	432
642.14	439
642.166	425
642.193	452
642.22	426
642.247	445
642.274	422
642.3	458
642.327	454
642.354	443
642.381	447
642.407	433
642.434	453
642.461	429
642.488	437
642.515	431
642.541	443
642.568	428
642.595	459
642.622	441
642.648	441
642.675	457
642.702	426
642.729	442
642.756	438
642.782	449
642.809	455
642.836	443
642.863	423
642.889	445
642.916	447
642.943	437
642.97	430
642.996	442
643.023	442
643.05	439
643.077	425
643.103	431
643.13	433
643.157	465
643.184	434
643.21	435
643.237	448
643.264	426
643.291	429
643.317	433
643.344	421
643.371	452
643.398	467
643.425	432
643.451	454
643.478	439
643.505	437
643.531	414
643.558	453
643.585	426
643.612	430
643.638	419
643.665	426
643.692	450
643.719	449
643.745	446
643.772	433
643.799	435
643.826	462
643.852	441
643.879	427
643.906	411
643.933	444
643.959	427
643.986	441
644.013	432
644.04	433
644.066	446
